parent_1,parent_2,parent_3,leaf
Home Services,-,-,Foundation Repair
Arts & Crafts,Shopping,-,Framing
German,Restaurants,-,Franconian
Diving,Active Life,-,Free Diving
Restaurants,-,-,Freiduria
Restaurants,-,-,French
Italian,Restaurants,-,Friulan
Specialty Food,Food,-,Frozen Food
Automotive,-,-,Fuel Docks
Local Services,-,-,Funeral Services & Cemeteries
Festivals,Arts & Entertainment,-,Fun Fair
Fashion,Shopping,-,Fur Clothing
Home & Garden,Shopping,-,Furniture Stores
Home Services,-,-,Furniture Assembly
Local Services,-,-,Furniture Repair
Chinese,Restaurants,-,Fuzhou
Restaurants,-,-,Galician
Shopping,-,-,Art Galleries
Restaurants,-,-,Game Meat
Event Planning & Services,-,-,Game Truck Rental
Home Services,-,-,Garage Door Services
Home Services,-,-,Gardeners
Home & Garden,Shopping,-,Nurseries & Gardening
Arts & Entertainment,-,-,Botanical Gardens
Doctors,Health & Medical,-,Gastroenterologist
Restaurants,-,-,Gastropubs
Bars,Nightlife,-,Gay Bars
Food,-,-,Gelato
Shopping,-,-,Gemstones & Minerals
Lawyers,Professional Services,-,General Litigation
Dentists,Health & Medical,-,General Dentistry
Festivals,Arts & Entertainment,-,General Festivals
Local Services,-,-,Generator Installation/Repair
Doctors,Health & Medical,-,Geneticists
Restaurants,-,-,Georgian
Restaurants,-,-,German
Doctors,Health & Medical,-,Gerontologists
Local Services,-,-,Gestorias
Restaurants,-,-,Giblets
Flowers & Gifts,Shopping,-,Gift Shops
Home Services,-,-,Glass & Mirrors
Art Classes,Education,-,Glass Blowing
Active Life,-,-,Gliding
Food,-,-,Mulled Wine
Restaurants,-,-,Gluten-Free
Active Life,-,-,Go Karts
Shopping,-,-,Gold Buyers
Active Life,-,-,Golf
Automotive,-,-,Golf Cart Dealers
Event Planning & Services,-,-,Golf Cart Rentals
Sporting Goods,Shopping,-,Golf Equipment
Fitness & Instruction,Active Life,-,Golf Lessons
Food,-,-,Specialty Food
Turkish,Restaurants,-,Gozleme
Professional Services,-,-,Graphic Design
Restaurants,-,-,Greek
Home & Garden,Shopping,-,Grilling Equipment
Local Services,-,-,Grill Services
Food,-,-,Grocery
Pet Services,Pets,-,Pet Groomers
Home Services,-,-,Grout Services
Restaurants,-,-,Guamanian
Hotels & Travel,-,-,Guest Houses
Musical Instrument Services,Local Services,-,Guitar Stores
Active Life,-,-,Gun/Rifle Ranges
Shopping,-,-,Guns & Ammo
Local Services,-,-,Gunsmith
Home Services,-,-,Gutter Services
Active Life,-,-,Gymnastics
Fitness & Instruction,Active Life,-,Gyms
Donburi,Japanese,Restaurants,Gyudon
Health & Medical,-,-,Habilitative Services
Chinese,Restaurants,-,Hainan
Beauty & Spas,-,-,Hair Salons
Beauty & Spas,-,-,Hair Extensions
Beauty & Spas,-,-,Hair Loss Centers
Beauty & Spas,-,-,Hair Removal
Hair Salons,Beauty & Spas,-,Hair Stylists
Caribbean,Restaurants,-,Haitian
Chinese,Restaurants,-,Hakka
Restaurants,-,-,Halal
Health & Medical,-,-,Halfway Houses
Health & Medical,-,-,Halotherapy
Active Life,-,-,Handball
Japanese,Restaurants,-,Hand Rolls
Home Services,-,-,Handyman
Active Life,-,-,Hang Gliding
Home & Garden,Shopping,-,Hardware Stores
Fashion,Shopping,-,Hats
Arts & Entertainment,-,-,Haunted Houses
Restaurants,-,-,Hawaiian
Food,-,-,Hawker Centre
Local Services,-,-,Hazardous Waste Disposal
Shopping,-,-,Head Shops
Health & Medical,-,-,Health Coach
Health & Medical,-,-,Health Insurance Offices
Specialty Food,Food,-,Health Markets
Hotels & Travel,-,-,Health Retreats
Fitness & Instruction,Active Life,-,Trainers
Health & Medical,-,-,Hearing Aids
Health & Medical,-,-,Hearing Aid Providers
Chinese,Restaurants,-,Henghwa
Event Planning & Services,-,-,Henna Artists
Doctors,Health & Medical,-,Hepatologists
Health & Medical,-,-,Herbal Shops
Specialty Food,Food,-,Herbs & Spices
German,Restaurants,-,Hessian
Restaurants,-,-,Heuriger
Shopping,-,-,High Fidelity Audio Equipment
Education,-,-,Middle Schools & High Schools
Active Life,-,-,Hiking
Restaurants,-,-,Himalayan/Nepalese
Religious Organizations,-,-,Hindu Temples
Tours,Hotels & Travel,-,Historical Tours
Restaurants,-,-,Hong Kong Style Cafe
Shopping,-,-,Hobby Shops
Sporting Goods,Shopping,-,Hockey Equipment
Chinese,Restaurants,-,Hokkien
Home & Garden,Shopping,-,Holiday Decorations
Home Services,-,-,Home Inspectors
Home Services,-,-,Home Organization
Shopping,-,-,Home & Garden
Local Services,-,-,Appliances & Repair
Home Services,-,-,Home Automation
Home Services,-,-,Home Cleaning
Home & Garden,Shopping,-,Home Decor
Real Estate,Home Services,-,Home Developers
Home Services,-,-,Home Energy Auditors
Health & Medical,-,-,Home Health Care
Insurance,Financial Services,-,Home & Rental Insurance
Community Service/Non-Profit,Local Services,-,Homeless Shelters
Turkish,Restaurants,-,Homemade Food
Home Services,-,-,Home Network Installation
Doctors,Health & Medical,-,Homeopathic
Real Estate,Home Services,-,Homeowner Association
Real Estate,Home Services,-,Home Staging
Home Services,-,-,Home Theatre Installation
Home Services,-,-,Home Window Tinting
Restaurants,-,-,Honduran
Food,-,-,Honey
Bars,Nightlife,-,Hookah Bars
Pets,-,-,Horse Boarding
Active Life,-,-,Horseback Riding
Shopping,-,-,Horse Equipment Shops
Active Life,-,-,Horse Racing
Japanese,Restaurants,-,Horumon
Health & Medical,-,-,Hospice
Doctors,Health & Medical,-,Hospitalists
Health & Medical,-,-,Hospitals
Hotels & Travel,-,-,Hostels
Active Life,-,-,Hot Air Balloons
Restaurants,-,-,Hot Dogs
Restaurants,-,-,Fast Food
Bars,Nightlife,-,Hotel bar
Event Planning & Services,-,-,Hotels
Restaurants,-,-,Hot Pot
Beauty & Spas,-,-,Hot Springs
Home & Garden,Shopping,-,Hot Tub & Pool
Home Services,-,-,House Sitters
Real Estate,Home Services,-,Housing Cooperatives
Chinese,Restaurants,-,Hunan
Restaurants,-,-,Hungarian
Sporting Goods,Shopping,-,Hunting & Fishing Supplies
Home Services,-,-,Heating & Air Conditioning/HVAC
Automotive,-,-,Hybrid Car Repair
Local Services,-,-,Hydro-jetting
Nurseries & Gardening,Home & Garden,Shopping,Hydroponics
Health & Medical,-,-,Hydrotherapy
Health & Medical,-,-,Hypnosis/Hypnotherapy
Restaurants,-,-,Iberian
Food,-,-,Ice Cream & Frozen Yogurt
Local Services,-,-,Ice Delivery
Lawyers,Professional Services,-,Immigration Law
Doctors,Health & Medical,-,Immunodermatologists
Food,-,-,Imported Food
Restaurants,-,-,Indonesian
Active Life,-,-,Indoor Playcentre
Professional Services,-,-,Indoor Landscaping
Restaurants,-,-,Indian
Doctors,Health & Medical,-,Infectious Disease Specialists
